"Sex, high school or bachelor's degree attainment, and year","Total, percent of all persons age 25 and over",,White\1\,,Black\1\,,Hispanic,,Asian/Pacific Islander,,,,,,"American Indian/
Alaska Native ",,Two or more races,
,,,,,,,,,Total,,Asian,,Pacific Islander,,,,,
1 ,2,,3,,4,,5,,6,,7,,8,,9,,10,
Total, ,,,,,,,,,,,,,,,,,
"  High school completion 
     or higher\2\",,,,,,,,,,,,,,,,,,
    1910\3\ ...............................................................................................,13.5,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1920\3\ ................................................................................................,16.4,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1930\3\ .....................................................................................................,19.1,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1940 .................................................................................................,24.5,(---),26.1,(---),7.7,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1950 .................................................................................................,34.3,(---),36.4,(---),13.7,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    1960 .................................................................................................,41.1,(---),43.2,(---),21.7,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1970 ................................................................................................,55.2,(---),57.4,(---),36.1,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1975 ................................................................................................,62.5,(---),65.8,(---),42.6,(---),38.5,(---),---,(†),---,(†),---,(†),---,(†),---,(†)
    1980 ................................................................................................,68.6,(0.20),71.9,(0.21),51.4,(0.81),44.5,(1.18),---,(†),---,(†),---,(†),---,(†),---,(†)
    1985 ................................................................................................,73.9,(0.18),77.5,(0.19),59.9,(0.74),47.9,(0.99),---,(†),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    1986 ..................................................................................................,74.7,(0.18),78.2,(0.19),62.5,(0.72),48.5,(0.96),---,(†),---,(†),---,(†),---,(†),---,(†)
    1987 .................................................................................................,75.6,(0.17),79.0,(0.18),63.6,(0.71),50.9,(0.94),---,(†),---,(†),---,(†),---,(†),---,(†)
    1988 .................................................................................................,76.2,(0.17),79.8,(0.18),63.5,(0.70),51.0,(0.92),---,(†),---,(†),---,(†),---,(†),---,(†)
    1989 ................................................................................................,76.9,(0.17),80.7,(0.18),64.7,(0.69),50.9,(0.89),82.3,(1.17),---,(†),---,(†),---,(†),---,(†)
    1990 ................................................................................................,77.6,(0.17),81.4,(0.17),66.2,(0.67),50.8,(0.88),84.2,(1.09),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    1991 ................................................................................................,78.4,(0.16),82.4,(0.17),66.8,(0.66),51.3,(0.86),84.2,(1.05),---,(†),---,(†),---,(†),---,(†)
    1992 ................................................................................................,79.4,(0.16),83.4,(0.16),67.7,(0.65),52.6,(0.85),83.7,(1.02),---,(†),---,(†),---,(†),---,(†)
    1993 ................................................................................................,80.2,(0.16),84.1,(0.16),70.5,(0.63),53.1,(0.83),84.2,(1.00),---,(†),---,(†),---,(†),---,(†)
    1994 ................................................................................................,80.9,(0.15),84.9,(0.16),73.0,(0.61),53.3,(0.78),84.8,(0.98),---,(†),---,(†),---,(†),---,(†)
    1995 ................................................................................................,81.7,(0.15),85.9,(0.16),73.8,(0.61),53.4,(0.78),83.8,(1.06),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    1996 ................................................................................................,81.7,(0.16),86.0,(0.16),74.6,(0.53),53.1,(0.68),83.5,(0.82),---,(†),---,(†),---,(†),---,(†)
    1997 .................................................................................................,82.1,(0.14),86.3,(0.15),75.3,(0.52),54.7,(0.54),85.2,(0.75),---,(†),---,(†),---,(†),---,(†)
    1998 .................................................................................................,82.8,(0.14),87.1,(0.14),76.4,(0.50),55.5,(0.53),84.9,(0.74),---,(†),---,(†),---,(†),---,(†)
    1999 .................................................................................................,83.4,(0.14),87.7,(0.14),77.4,(0.49),56.1,(0.52),84.7,(0.73),---,(†),---,(†),---,(†),---,(†)
    2000 .................................................................................................,84.1,(0.13),88.4,(0.14),78.9,(0.48),57.0,(0.51),85.7,(0.71),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    2001 .................................................................................................,84.3,(0.13),88.7,(0.13),79.5,(0.47),56.5,(0.50),87.8,(0.60),---,(†),---,(†),---,(†),---,(†)
    2002 .................................................................................................,84.1,(0.09),88.7,(0.10),79.2,(0.34),57.0,(0.34),87.7,(0.44),---,(†),---,(†),---,(†),---,(†)
    2003 .................................................................................................,84.6,(0.09),89.4,(0.09),80.3,(0.33),57.0,(0.33),87.8,(0.43),87.8,(0.44),88.2,(1.87),77.2,(1.64),86.1,(0.97)
    2004 .................................................................................................,85.2,(0.09),90.0,(0.09),81.1,(0.32),58.4,(0.32),86.9,(0.43),86.9,(0.44),88.5,(1.91),77.8,(1.61),87.2,(0.91)
    2005 .................................................................................................,85.2,(0.14),90.1,(0.16),81.4,(0.44),58.5,(0.53),87.8,(0.62),87.7,(0.62),90.1,(2.69),75.6,(2.02),88.6,(0.83)
,,,,,,,,,,,,,,,,,,
    2006 .................................................................................................,85.5,(0.15),90.5,(0.15),81.2,(0.43),59.3,(0.58),87.5,(0.71),87.5,(0.71),85.7,(2.51),78.5,(2.11),88.1,(0.90)
    2007 .................................................................................................,85.7,(0.15),90.6,(0.15),82.8,(0.39),60.3,(0.56),88.0,(0.79),87.9,(0.81),88.6,(2.30),80.3,(2.27),89.3,(0.87)
    2008 .................................................................................................,86.6,(0.15),91.5,(0.15),83.3,(0.40),62.3,(0.58),89.0,(0.62),88.8,(0.64),94.4,(1.00),78.4,(2.74),89.5,(1.12)
    2009 .................................................................................................,86.7,(0.15),91.6,(0.15),84.2,(0.44),61.9,(0.56),88.4,(0.61),88.3,(0.63),90.8,(1.76),81.5,(1.83),87.4,(0.96)
    2010 .................................................................................................,87.1,(0.13),92.1,(0.14),84.6,(0.41),62.9,(0.53),89.1,(0.67),89.1,(0.68),90.2,(1.95),80.8,(1.76),88.9,(0.90)
,,,,,,,,,,,,,,,,,,
    2011 .................................................................................................,87.6,(0.13),92.4,(0.14),84.8,(0.41),64.3,(0.54),88.8,(0.55),88.7,(0.57),90.4,(1.61),82.3,(1.77),89.4,(1.00)
    2012 .................................................................................................,87.6,(0.15),92.5,(0.14),85.7,(0.40),65.0,(0.59),89.151,(0.59),89.0,(0.61),91.6094,(1.33),81.8,(1.69),91.0,(0.89)
    2013 .................................................................................................,88.2,(0.14),92.9,(0.13),85.9,(0.42),66.2,(0.52),90.2,(0.51),90.2,(0.53),89.5,(1.72),82.2,(1.68),92.6,(0.75)
